Serial number,County,Subcounty,Education zone,,,School Name/Learning Institution,"Type of school1_ Public, Private, Informal",GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Registered, Not registered",Type of school2_Boys; Girls; Mixed,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),HT TEL. CONTACT
35,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Kwangumu,Public,-1.786515,37.297071,,147014044247,18347130,RBDB,Salvation Army,12 Acres,Primary,Public,Registered,Mixed,Day,Regular,209,255,464,5,6,0,0,0,3,11,3,14,CSO,3,15,0,0,0,11,0,15,0,268.78,,0722570277
36,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Mumela,Public,-1.894127,37.452598,,147014044271,18347241,LRR3,,13 Acres,Primary,Public,Registered,Mixed,Day,integrated,78,62,140,3,5,0,0,0,1,8,1,9,"CSO, EDUC Ministry",2,8,0,0,0,5,0,5,0,281.37,,0712378581
37,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Ngalana,Public,-1.891334,37.470563,,147014044287,18347222,YETT,CEB,1.5702 Acres,Primary,Public,Registered,Mixed,Day,integrated,75,69,144,5,3,0,0,0,1,8,1,9,"Ministry of Education, Professionals",2,8,0,0,0,6,0,6,0,265.01,,0726471403
38,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Isika,Public,-1.899105,37.368819,,147014044281,18347237,E4YM,ABC,2.5 Ha,Primary,Public,Registered,Mixed,Day,Regular,122,136,258,4,4,0,0,1,0,8,1,9,"CSO, GOK, Parents/ BOM",2,9,0,0,0,8,0,6,0,262.27,,0725615422
39,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Wathini,Public,-1.883303,37.354834,,147014044247,18347227,X86M,A.C.K,4.33Ha,Primary,Public,Registered,Mixed,Day,Regular,51,50,101,7,3,0,0,1,0,10,1,11,"CSO. CSO, CSO, CSO",1,8,0,0,0,4,0,5,0,292.05,,0724877077
40,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Kiumoni,Public,-1.920219,37.324709,,147014044291,18347279,7RX4,Catholic,5 Acres,Primary,Public,Registered,Mixed,Day&Boarding,Regular,82,89,171,6,3,0,0,0,1,9,1,10,"MOE, Professionals",1,8,0,0,0,1,0,1,0,205.88,,0718589299
41,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Katulyani,Public,-1.899375,37.440855,,147014044286,18347238,LTX2,CEB,2 Ha,Primary,Public,Not-registered,Mixed,Day,integrated,48,53,101,7,1,0,0,0,2,8,2,10,"CSO, CSO, DQSO, CSO",2,8,0,0,0,6,0,6,0,262.73,,0725973875
42,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Kithina,Public,-1.907722,37.381583,,147014044264,18347233,EV3H,Catholic,4 Acres,Primary,Public,Registered,Mixed,Day,Regular,70,84,154,9,0,0,0,0,0,9,0,9,CSO,1,8,0,0,0,3,0,4,0,248.75,,0715386140
43,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Kitheini,Public,-1.889699,37.433078,,147014044263,18347224,7JQP,AIC,2Ha,Primary,Public,Registered,Mixed,Day,Regular,82,99,181,4,4,0,0,0,0,8,0,8,"Education Officers, CBC Champions, ICT experts",1,10,0,0,0,7,0,7,0,275,,0721478359
44,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Ngaamba,Public,-1.897455,37.218195,,147014044255,18347140,CACX,ABC,4.95 Acres,Primary,Public,Registered,mixed,Day&Boarding,Regular,136,129,265,4,5,0,0,0,2,9,2,11,"CSO, DQASO",3,8,0,0,0,10,0,8,0,246.95,,0728649122
45,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Mulumini,Public,-1.784026,37.263704,,147014043059,18347129,3P8Z,Catholic,5 Acres,Primary,Public,Registered,Mixed,Day,Regular,275,225,500,5,12,0,0,0,0,17,0,17,"CSO, QASO",0,16,0,0,0,8,0,8,0,251.12,,0721742638
46,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Kiu,Public,-1.892074,37.166819,,147014044245,18347138,7FNA,AIC,14 Acres,Primary,Public,Registered,Mixed,Day,Regular,236,246,482,7,6,0,0,1,1,13,2,15,CSO,0,19,0,0,0,7,0,8,0,,,0724405016
47,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Kavuko,Public,-1.88956,37.28322,,147014044246,18347132,G35V,AIC,10 Acres,Primary,Public,Registered,Mixed,Day&Boarding,integrated,427,372,799,8,14,0,0,4,2,22,6,28,"CSO, QASO, MOE",13,20,0,0,0,21,0,33,0,325.06,,0722369922
48,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Kyunguni,public,-2.002805,37.3951,,147014044278,18347219,AKED,CEB,5 Acres,Primary,public,Registered,Mixed,Day,Regular,109,99,208,3,7,0,0,0,1,10,1,11,"Alumni, MOEST Officials",1,8,0,0,0,6,0,6,0,273.55,,0722524275
49,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Kathii,Public,-1.928142,37.400326,,147014044265,18347211,84UB,Catholic,4 Acres,Primary,Public,Registered,Mixed,Day,Regular,69,85,154,5,4,0,0,0,0,9,0,9,"Ministry, TSC, NGOs, Individuals",1,8,0,0,0,4,0,4,0,236.9,,0713318470
50,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Kilie,Public,,,,147014044200,18347218,GQS5,CEB,1.296 Acres,primary,Public,Registered,mixed,Day,Regular,52,75,127,4,4,0,0,0,0,8,0,8,"DQASO, CSO, TSC HR",0,8,0,0,0,6,0,6,0,244.69,,0725333067
51,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Kwale,Public,-1.948983,37.294985,,147014044257,18347201,448R,AIC,3 Acres,Primary,Public,Registered,mixed,Day,Regular,166,137,303,2,10,0,0,1,0,12,1,13,"CSO, MOE",2,8,0,0,0,8,0,8,0,248.06,,0712459180
52,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Masive,Public,-1.93148,37.353365,,147014044289,18347207,6BZQ,Catholic,4 Acres,Primary,Public,Registered,Mixed,Day,Regular,92,88,180,5,3,0,0,0,0,8,0,8,CSO,0,8,0,0,0,4,0,4,0,232.18,,0720659754
53,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Kathikwani,Public,-1.957427,37.407849,,147014044280,18347212,JSWB,CEB,3.864ACRES,Primary,Public,Registered,Mixed,Day,Regular,88,87,175,5,2,0,0,0,1,7,1,8,"CSO, SCDE",2,8,0,0,0,3,0,3,0,282.12,,0724665539
54,Makueni,Mukaa,Kasikeu,Kilome,kasikeu,Kwakalelo,Public,-1.930786,37.303213,,147014044303,18347,NHTS,Catholic,9.8 Acres,Primary,Public,Registered,Mixed,Day,Regular,92,91,183,3,6,0,0,0,1,9,1,10,"Government, Government",1,8,0,0,0,,,,,262.26,,0729736120
55,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Kiou,Public,-1.94244,37.320501,,147014044262,18347202,82-43-02-147,Catholic,1.5 Acres,Primary,Public,Registered,Mixed,Day,Regular,113,92,205,7,1,0,0,1,1,8,2,10,CSO,2,8,0,0,0,1,0,3,0,235.95,,0728041137
56,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Nguuni,Public,-1.966636,37.402497,,147014044294,18347214,9BRN,Catholic,1.5 Acres,Primary,Public,Registered,Mixed,Day,Regular,49,48,97,4,4,0,0,0,0,8,0,8,SCDE,1,8,0,0,0,4,0,4,0,236.1,,0711680170
57,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Kitumbini,Public,-1.923267,37.387403,,147014044283,18347210,EG5Y,Catholic,13 Acres,Primary,Public,Registered,Mixed,Day,Regular,77,80,157,4,5,0,0,1,0,9,1,10,DQASO,1,8,0,0,0,5,0,10,0,295.31,,0715778070
58,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Kandolo,Public,-1.970231,37.364678,,147014044261,18347205,4YYF,AIC,2.02Ha,Primary,Public,Registered,Mixed,Day,Regular,124,142,266,5,5,0,0,0,0,10,0,10,"DQSO, TSC HR, CSO",,9,0,0,0,14,0,8,0,286.32,,0721208182
59,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Mutweamboo,Public,-1.940964,37.37696,,147014044272,18347209,QH5J,AIC,5 Acres,Primary,Public,Registered,Mixed,Day,Regular,254,231,485,6,6,0,0,1,2,12,3,15,CSO,2,16,0,0,0,8,0,8,0,308.81,,0716317887
60,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Kalimbini,Public,-1.958626,37.328133,,147014044883,18347243,SBUZ,CEB,2.8 Acres,Primary,Public,Registered,Mixed,Day,Regular,73,76,149,2,8,0,0,2,0,10,2,12,CSO,2,8,0,0,0,2,0,2,0,302.65,,0727159452
61,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Chief Kiamba,Public,-1.973216,37.37866,,147014044201,18347217,FYVG,CEB,2 Acres,Primary,Public,Registered,Mixed,Day,Regular,78,66,144,3,6,0,0,2,0,9,2,11,"CSO/Teachers, SCO/Teachers, Education officer",2,8,0,0,0,5,0,7,0,309.4,,0712064462
62,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,St. Patrick's Kawese,Public,-1.98263,37.299809,,147014044330,18347245,PSSU,Catholic,1.5 Acres,Primary,Public,Registered,Mixed,Day,Regular,108,74,182,5,4,0,0,0,0,9,0,9,"CSO, CSO, DQSO, CSO",,8,0,0,0,10,0,10,0,272.19,,0711628344
63,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Sultan Hamud,Public,-2.018883,37.379781,,147014044276,18347216,UE8K,AIC,10 Acres,Primary,Public,Registered,Mixed,Day,,514,559,1073,5,18,0,0,0,1,23,1,24,"Sub county Officers, CSO",2,19,4,0,0,10,0,19,0,279.25,,0721769845
64,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Muani,Public,-1.974216,37.395448,,147014044273,18347215,3CJY,Catholic,12.96 Acres,Primary,Public,Registered,Mixed,Day,Regular,70,47,117,4,5,0,0,0,0,9,0,9,"CSO, MOEST, Parents, Church",2,8,0,0,0,5,0,5,0,283.2,,0722544012
65,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Musaani,Public,-1.926915,37.364147,,147014044273,18347231,FXNR,Catholic,`10 Acres,Primary,Public,Registered,Mixed,Day,Regular,145,135,280,5,3,0,0,0,1,8,1,9,"CSOs, DQASOs",2,,0,0,0,8,0,8,0,262.72,,0715635736
66,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Lumu,Public,-1.954266,37.343995,,147014044266,18347204,L4VN,CEB,4.3 Ha,Primary,Public,Registered,Mixed,Day,Regular,232,176,408,3,7,0,0,1,1,10,2,12,"SCDE, CSO, SCTSCD",1,13,0,0,0,8,0,8,0,290.11,,0722436643
67,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Enguli,Public,-1.941292,37.360722,,147014044260,18347204,ME8G,ABC,2.76Ha,Primary,Public,Registered,Mixed,Day,Regular,73,83,156,5,4,0,0,1,0,9,1,10,"CSO, DQUASO, CSO, CSO",1,10,0,0,0,4,0,4,0,311.74,,0728990116
68,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Landu,Public,-1.956642,37.390109,,147014044297,18347213,MRQD,CEB,5 Acres,Primary,Public,Not-registered,mixed,Day,integrated,143,134,277,2,7,0,0,1,0,9,1,10,"Government, Government",1,8,0,0,0,5,0,4,0,304.2,,0706552805
69,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Kamaku,Public,-1.818376,37.191447,,147014044857,,VNBS,CEB,10 Acres,Primary,Public,Not-registered,Mixed,Day,Regular,23,14,37,3,3,0,0,0,1,6,1,7,"CSOs, DQASOs, SCHROs",0,5,2,0,0,4,0,4,0,,,0718380374
70,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Ndalani,Public,-1.853372,37.170195,,147014044887,18347143,5L56,CEB,10 Acres,Primary,Public,Registered,Mixed,Day,Regular,140,146,286,6,2,0,0,1,1,8,2,10,"CBC Trainers, CSOs, DQASO, CSO, DQASO, Tusome trainers",4,8,0,0,0,8,0,6,0,274.03,,0729850688
71,Makueni,Mukaa,Kiimakiu,Kilome,Kitaingo/mukaa,Kiongwani,Public,-1.908439,37.301443,,147014047133,18347133,DTWE,Catholic,3.5 Acres,Primary,Public,Registered,Mixed,Day,integrated,271,265,536,2,14,0,0,1,0,16,1,17,"QA Officers, CSO, TSC Officers",3,16,0,0,0,15,0,16,0,250.82,,0712610049
72,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Kathungu,Public,-1.81942,37.274996,,147014044254,18347128,D6LS,AIC,5.5 Acres,Primary,Public,Not-registered,Mixed,Day,Regular,229,228,457,5,8,0,0,3,0,13,3,16,"CSOs, TSC Sub county Director, SC-Director",3,16,0,0,0,20,0,8,0,298.22,,0708387648
73,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,St. Peter's Kwandeke,Public,,,,147014044906,,498B,Catholic,10 A cres,Primary,Public,Registered,Mixed,Day,Regular,50,40,90,2,6,0,0,0,0,8,0,8,"SCQASO, SCDE, TSCSCD, CSO",0,3,4,0,0,2,0,2,0,,,0722930754
74,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Kiteini,Public,,,,147014044781,,L6R4,CEB,3.5 Acres,Primary,Public,Not-registered,Mixed,Day,Regular,49,43,92,3,2,0,0,0,3,5,3,8,"QASO, CSO",0,7,0,0,0,2,0,2,0,,,0725872114
75,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Malili Township,Public,-1.742864,37.250088,,147014044905,18347144,2MDL,AIC,7.83 Acres,Primary,Public,Registered,Mixed,Day,Regular,167,210,377,3,7,0,0,0,0,10,0,10,"CSO, CSO",1,3,6,0,0,1,0,1,0,248.53,,0720805427
76,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Itumbule,Public,-1.916771,37.220052,,147014044292,18347136,V4J7,Catholic,2.112Ha,Primary,Public,Registered,Mixed,Day,Regular,105,106,211,4,3,0,0,0,1,7,1,8,CSOs,3,8,0,0,0,6,0,8,0,260.9,,0712554627
77,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Uvunye,Public,-1.926455,37.188195,`,147014043193,18347137,3R6Z,Catholic,2.3Ha,Primary,Public,Registered,Mixed,Day,Regular,212,183,395,6,2,0,0,0,2,8,2,10,"CBC Trainers, CSOs, DQASO, CSO, DQASO, Tusome trainers",2,9,1,0,0,8,0,4,0,244.34,,0716350840
78,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Kaluli,Public,,,,147014044907,,UKL2,CEB,8 Acres,Primary,Public,Registered,Mixed,Day,Regular,51,49,100,2,5,0,0,0,0,7,0,7,"CSO, DQASO, SCHRO",1,3,4,0,0,2,0,2,0,,,0719551336
79,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Kea,Public,-1.825928,37.257383,,147014044889,18347145,KLRB,CEB,7.8 Acres,Primary,Public,Registered,Mixed,Day,Regular,50,72,122,2,7,0,0,0,0,9,0,9,"Champion Teachers, CSO, DQASO, CSO, Book  Publishers",1,5,3,0,0,3,0,3,0,282.53,,0722573043
80,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Kwawala,Public,,,,147014044895,,5XMD,CEB,3Acres,primary,Public,Not-registered,Mixed,Day,Regular,45,45,90,2,8,0,0,0,0,10,0,10,"CSO, QASO",0,5,3,0,0,4,0,4,0,255.11,,0721955606
81,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Mwanyani,Public,-1.908019,37.183552,,147014044300,18347139,QT6P,AIC,10 Acres,Primary,Public,Not-registered,Mixed,Day,Regular,182,159,341,5,3,0,0,0,2,8,2,10,CSO,2,8,1,0,0,8,0,8,0,257.92,,0721925657
82,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,Ulu,Public,-1.812238,37.149389,,147014044251,18347131,9KHB,AIC,4.197 Acres,Primary,Public,Registered,Mixed,Day,Regular,267,291,558,6,9,0,0,1,0,15,1,16,"CSO, QASO, CSO, Audit Dept",1,16,0,0,0,8,0,8,0,278.46,,0720034931
83,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Muangini,Public,-1.888427,37.411324,,147014044270,18347234,JH56,AIC,8 Acres,Primary,Public,Registered,Mixed,Day,Regular,124,161,285,5,4,0,0,0,0,9,0,9,CSO,2,13,0,0,0,4,0,6,0,240.83,,0715762027
84,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Ngiluni,Public,-1.933675,37.413585,,147014044288,18347236,R4Q6,CEB,2Ha,Primary,Public,Registered,Mixed,Day,Regular,97,75,172,7,1,0,0,0,0,8,0,8,CSO,1,8,0,0,0,2,0,3,0,256.52,,0723235550
85,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Nduluni,Public,-1.887648,37.388034,,147014044278,18347235,M4W7,AIC,2.5 Acres,Primary,Public,Registered,Mixed,Day,Regular,151,137,288,6,3,0,0,1,2,9,3,12,"CSO, County Officials",2,10,0,0,0,6,0,8,0,271.57,,0721572220
86,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Mbyani,Public,-1.887218,37.442151,,147014044306,18347223,U6DE,CEB,1.2 Acres,Primary,Public,Registered,Mixed,Day&Boarding,Regular,60,41,101,6,2,0,0,0,0,8,0,8,"CSO, SCQASO",1,8,0,0,0,2,0,3,0,235.47,,0728055241
87,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Muua,Public,-1.91445,37.337269,,147014044272,18347228,GRVU,ABC,4 Acres,Primary,Public,Registered,Mixed,Day,Regular,123,98,221,3,5,0,0,0,0,8,0,8,"Campus Examiners, CSO",2,8,0,0,0,4,0,4,0,243.52,,0725558798
88,Makueni,Mukaa,Mumela,Kilome,Kasikeu,Masaani,Public,-1.884471,37.337771,,147014044199,18347231,MF4K,Catholic,1.4 Ha,Primary,Public,Registered,Mixed,Day,Regular,54,51,105,6,2,0,0,0,0,8,0,8,"Subject specialists,  CSO, CSO, CSO",1,8,2,0,0,3,0,3,0,253.6,,0729761877
89,Makueni,Mukaa,Mukaa,Kilome,Kitaingo/mukaa,Kilome S.A,Public,-1.807203,37.340361,,147014044227,18347102,PNDJ,Salvation Army,3 Acres,Primary,Public,Registered,Mixed,Day,Regular,195,145,340,3,6,0,0,0,1,9,1,10,"CSO, SCASO",3,12,0,0,0,8,0,16,0,264.06,,0711928692
90,Makueni,Mukaa,Mukaa,Kilome,,Kitonguni,Public,-1.845661,37.33938,,147014044229,18347117,YKVP,ABC,1.5 Acres,Primary,Public,Registered,Mixed,Day,Regular,64,75,139,4,3,0,0,1,1,7,2,9,CSO,1,8,0,0,0,2,0,2,0,276.65,,0706107538
91,Makueni,Mukaa,Mukaa,Kilome,Mukaa,Kwambotoe,Public,-1.857631,37.280885,,147014044259,18347121,VRP6,Catholic,0.7Ha,Primary,Public,Registered,Mixed,Day,Regular,132,132,264,4,7,0,0,0,0,11,0,11,"SQASO, KEPSHA, MOE, TSC, CSO",2,14,0,0,0,12,0,12,0,253.93,,0720727030
92,Makueni,Mukaa,Mukaa,Kilome,Mukaa,Matiani,Public,-1.806396,37.311835,,147014044233,18347106,MLCS,AIC,12 Acres,Primary,Public,Registered,Mixed,Day,integrated,153,146,299,4,3,0,0,0,0,7,0,7,CSO,0,10,0,0,0,5,0,5,0,238.12,,0728644453
93,Makueni,Mukaa,Mukaa,Kilome,Kitaingo/mukaa,Uthini,Public,-1.854184,37.355544,,147014044237,18347113,GNPR,AIC,1.66Ha,Primary,Public,Registered,Mixed,Day,Regular,110,102,212,3,6,0,0,0,0,9,0,9,"TSC HR, CSO,CSO",2,8,0,0,0,4,0,4,0,250.34,,0721420711
94,Makueni,Mukaa,Mukaa,Kilome,Kitaingo/mukaa,Kwa Kiketi,Public,-1.833572,37.352544,,147014044239,18347111,PTGD,AIC,5 Ha,Primary,Public,Registered,mixed,Day,Regular,132,140,272,4,4,0,0,0,1,8,1,9,"QASO, CSO, Sponsor, Motivational Speakers",2,12,0,0,0,8,0,4,0,194.01,,0701380775
95,Makueni,Mukaa,Mukaa,Kilome,Mukaa,Kitaingo Springs of Hope Academy,Public,-1.843771,37.364486,,147014044228,18347110,J72D,AIC,3.5 Acres,Primary,Public,Registered,Mixed,Day,Regular,105,112,217,3,5,0,0,0,2,8,2,10,"CSO, DQUASO",2,8,0,0,0,4,0,4,0,250.34,,0712811543
96,Makueni,Mukaa,Mukaa,Kilome,Kitaingo/mukaa,Kwamalelu,Public,-1.826931,37.333785,,147014044241,18347107,VGJN,CEB,6 Acres,Primary,Public,Not-registered,Mixed,Day,Regular,83,72,155,5,2,0,0,0,1,7,1,8,"Hindu Community, CSO",1,7,1,0,0,4,0,6,0,224.32,,0705375342
97,Makueni,Mukaa,Mukaa,Kilome,Mukaa,Kwamwingio,Public,-1.840959,37.312292,,147014044231,18347105,8X6F,ABC,3.1 Ha,Primary,Public,Registered,Mixed,Day,Regular,141,129,270,3,5,0,0,1,0,8,1,9,"CSO, DSQAL, Government",2,8,0,0,0,5,0,7,0,251.78,,0720335816
98,Makueni,Mukaa,Mukaa,Kilome,Kitaingo/mukaa,Mbukuni,public,-1.819593,37.34818,,147014044234,18347109,99MM,AIC,5 Acres,Primary,public,Registered,Mixed,Day,Regular,101,105,206,5,3,0,0,2,1,8,3,11,"CSO, SCD, CSO, SCD, Head Teachers",0,8,0,0,0,5,0,4,0,283.26,,0721465791
99,Makueni,Mukaa,Mukaa,Kilome,Mukaa,Kwakavita,Public,-1.852929,37.31785,,147014044242,18347119,MUBR,,0.10 Ha,Primary,Public,Registered,Mixed,Day,Regular,52,45,97,5,3,0,0,0,1,8,1,9,"CSO, QASO, CACO",2,8,0,0,0,3,0,6,0,247.39,,0721259752
100,Makueni,Mukaa,Mukaa,Kilome,kitaingo,Katikomu,Public,-1.854722,37.381845,,147014044202,18347116,64CH,AIC,21.6 Acres,primary,Public,Registered,mixed,Day,Regular,150,140,290,1,6,0,0,1,1,7,2,9,"CSO, ICT Champions, Ministry Officials, Ministry TSC",1,8,0,0,0,6,0,12,0,256.5,,0718861227
101,Makueni,Mukaa,Mukaa,Kilome,Kitaingo/mukaa,Enzai,Public,-1.843477,37.314822,,147014044226,18347103,GCLF,ABC,12 Acres,Primary,Public,Registered,mixed,Day&Boarding,Regular,249,237,486,5,8,0,0,2,0,13,2,15,"CSO, CSO, TOT",7,12,1,0,0,16,0,14,0,290.83,,0721906470
102,Makueni,Mukaa,Mukaa,Kilome,Kitaingo/mukaa,Maiani S.A,Public,-1.86315,37.294973,,147014044248,18347122,2LVX,Salvation Army,7 Acres,Primary,Public,Registered,Mixed,Day,Regular,106,111,217,3,6,0,0,0,0,9,0,9,"Zone,/Sub County, Health Officers, Zone/Subcounty",2,11,0,0,0,11,0,12,0,225.2,,0711124948
42,Makueni,Kibwezi,Kambu,Kibwezi East,Ivingoni/Nzambani,KIAMBANI,Public,-2.285943,37.812081,,N/A,18325163,3UPC,,1,Primary,Public,Registered,Mixed,Day,Integrated school,162,154,316,4,4,0,0,1,1,8,2,10,"CSO,MINISTRY OF EDUCATION",1,8,0,0,0,6,0,6,0,309.55,,0720354663
43,Makueni,Kibwezi,Ngwata,Kibwezi East,MASONGALENI,KIANGE,Public,-2.530602,38.093433,,4756,18325111,UQFP,,4,Primary,Public,Registered,Mixed,Day,Integrated school,103,93,196,5,3,0,0,0,0,8,0,8,"CSO,DQASO",1,8,0,0,0,2,0,4,0,194.35,,0720284719
44,Makueni,Kibwezi,KIBWEZI,Kibwezi East,THANGE,KINYAMBU,Public,-2.474888,38.00175,,4071,18325226,E68K,DEB,4,Primary,Public,Registered,Mixed,Day,Integrated school,217,147,364,4,6,0,0,0,0,10,0,10,CSO,2,10,0,0,0,9,0,6,0,207.7,,0724495155
45,Makueni,Kibwezi,Ngwata,Kibwezi East,Mtito - Andei,KITENGÉI,Public,-2.551273,38.136005,,4738,18325116,MDB4,,16.78,Primary,Public,Registered,Mixed,Day,Regular,204,172,376,5,4,0,0,0,3,9,3,12,"CSO,DQASO,SCDE",1,9,2,0,0,4,0,4,0,216.86,,0725932504
46,Makueni,Kibwezi,Kathyaka,Kibwezi West,Kikumbulyu,KIAONI ,Public,-2.205676,38.050083,,4628,18325222,,DEB,16.7,Primary,Public,Registered,Mixed,Day & Boarding,Integrated school,186,191,377,5,6,0,0,1,1,11,2,13,"CSO,CED,MOE",4,10,1,0,0,8,0,5,0,324.7,,0721676802
47,Makueni,Kibwezi,KIBWEZI,Kibwezi West,Kikumbulyu,KIBWEZI TOWNSHIP,Public,-2.410035,37.966576,,4042,18325211,D536,CEB,7,Primary,Public,Registered,Mixed,Day & Boarding,Integrated school,574,602,1176,7,5,0,0,3,2,12,5,17,"CSO,MOE,TSC",4,24,0,0,0,12,0,17,0,268.83,,0721423041
48,Makueni,Kibwezi,Maikuu,Kibwezi East,THANGE,KIKUNDUKU,Public,-2.587327,37.942116,,824205015,18325318,PGAZ,DEB,,Primary,Public,Registered,Mixed,Day,Regular,186,167,353,3,5,0,0,1,0,8,1,9,"CSO,DQASO",1,10,0,0,0,6,0,9,0,215,,0727996744
49,Makueni,Kibwezi,Mtito -Andei,Kibwezi East,Mtito - Andei,KIWASUNI,Public,0,0,,4708,18325175,G8NA,,2.8 Ha,Primary,Public,Registered,Mixed,Day,Regular,77,70,147,3,5,0,0,0,1,8,1,9,"CSO,SCDE",2,8,0,0,0,2,0,2,0,220.97,,0723826280
50,Makueni,Kibwezi,KIBWEZI,Kibwezi East,THANGE,KILUNGU,Public,-2.435425,38.021009,,4078,18325225,WF56,DEB,5,Primary,Public,Registered,Mixed,Day,Regular,123,89,212,3,5,0,0,0,0,8,0,8,"TSC,CSO",2,12,0,0,0,8,0,4,0,232.33,,0712518429
51,Makueni,Kibwezi,Kathyaka,Kibwezi West,Kikumbulyu,KINGÚTHENI,Public,-2.20226,37.997054,,4050,18325203,BFF2,DEB,12.38,Primary,Public,Registered,Mixed,Day,Regular,151,128,279,3,5,1,1,0,0,8,0,10,"CSO,DEO",1,10,0,0,0,6,0,5,0,275.02,,0721786069
52,Makueni,Kibwezi,Kathyaka,Kibwezi West,Kikumbulyu,KISAYANI,Public,-2.327421,38.013833,,4040,18325221,SL2Z,DEB,5Ha,Primary,Public,Registered,Mixed,Day,Regular,303,267,570,6,11,0,0,1,0,17,1,18,"CSO,SCQASO,SCDE",2,16,0,0,0,12,0,10,0,218.78,,0725459791
53,Makueni,Kibwezi,maikuu,Kibwezi East,THANGE,KITHASYU,Public,-2.503423,37.946062,,4072,18325305,ZXNW,DEB,3.5,Primary,Public,Registered,Mixed,Day,Regular,209,268,477,5,5,0,0,2,0,10,2,12,"TSC,CSO,SCDE",2,15,0,0,0,8,0,8,0,227.77,,0721764388
